"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"KLHL202",1.01168559629326e-18,0.358847968614964,0.557,0.3,1.9836119486522e-14,"4","KLHL20"
"KDM4C2",1.01343362826486e-18,0.331321765473148,0.98,0.637,1.9870393149389e-14,"4","KDM4C"
"GVQW22",1.01663007261315e-18,0.29913407178084,0.645,0.372,1.9933065833726e-14,"4","GVQW2"
"MRGBP2",1.02619383701221e-18,0.346517481000106,0.545,0.29,2.01205825622983e-14,"4","MRGBP"
"HDAC112",1.03713502203075e-18,0.348548380816102,0.73,0.428,2.0335106376957e-14,"4","HDAC11"
"KISS1R1",1.05744566536756e-18,0.263020045228924,0.301,0.124,2.07333371608618e-14,"4","KISS1R"
"PCP4L1",1.07861210674279e-18,0.371812393010772,0.381,0.179,2.1148347576906e-14,"4","PCP4L1"
"FAM187A1",1.0790858032141e-18,0.551662709788795,0.438,0.216,2.11576353436189e-14,"4","FAM187A"
"TFAP2E1",1.0821960417393e-18,0.626294981398521,0.432,0.216,2.12186177903825e-14,"4","TFAP2E"
"ZDHHC42",1.08896969800261e-18,0.34883253557708,0.545,0.289,2.13514288687371e-14,"4","ZDHHC4"
"CCDC1031",1.11370969769449e-18,0.55488955485776,0.438,0.216,2.18365060426959e-14,"4","CCDC103"
"SFR12",1.11421046365541e-18,0.567025750711587,0.662,0.376,2.18463245608916e-14,"4","SFR1"
"RIOK12",1.12527680762367e-18,0.612334354017997,0.625,0.357,2.20633023670773e-14,"4","RIOK1"
"UPK1A1",1.16179502528689e-18,0.854819785655275,0.276,0.112,2.27793150608001e-14,"4","UPK1A"
"MNS12",1.22492702493186e-18,0.501432811789881,0.528,0.283,2.4017144177839e-14,"4","MNS1"
"COA72",1.24486146869992e-18,0.670602292358551,0.494,0.262,2.44079988167992e-14,"4","COA7"
"FOXH12",1.26424151788843e-18,0.978162114264796,0.409,0.2,2.47879834412385e-14,"4","FOXH1"
"HLA-F2",1.33050550114378e-18,0.501467480266268,0.611,0.334,2.60872213609262e-14,"4","HLA-F"
"ZNF33B2",1.35069667941077e-18,0.275398334906829,0.693,0.385,2.6483109793207e-14,"4","ZNF33B"
"CSGALNACT22",1.36604256974031e-18,0.284948524159403,0.662,0.363,2.67839966648982e-14,"4","CSGALNACT2"
"ITGB12",1.39062745514264e-18,0.325239521022106,0.787,0.463,2.72660325129817e-14,"4","ITGB1"
"GOSR1",1.40394404883471e-18,0.276955213881739,0.497,0.262,2.75271309655021e-14,"4","GOSR1"
"RSAD12",1.44334154242573e-18,0.48606028301817,0.568,0.32,2.82995976223413e-14,"4","RSAD1"
"OOEP",1.52773355383811e-18,0.42701315022972,0.361,0.165,2.99542717901039e-14,"4","OOEP"
"ALDH5A12",1.59131907835168e-18,0.438436968917596,0.622,0.35,3.12009931692414e-14,"4","ALDH5A1"
"CMTM62",1.59877375804637e-18,0.344177735250629,0.568,0.312,3.13471570740151e-14,"4","CMTM6"
"TMEM38A2",1.59895334664636e-18,0.389355698985798,0.71,0.417,3.13506782676951e-14,"4","TMEM38A"
"HLA-DOB2",1.60210300328793e-18,0.930860223340969,0.364,0.168,3.14124335854665e-14,"4","HLA-DOB"
"PDIA2",1.61982476524359e-18,1.14806294065424,0.179,0.056,3.17599041721311e-14,"4","PDIA2"
"GABRD",1.62266083353606e-18,0.569424849234728,0.199,0.066,3.18155109631415e-14,"4","GABRD"
"DNASE1L21",1.68967288752557e-18,0.771883875574128,0.213,0.075,3.31294163057139e-14,"4","DNASE1L2"
"RPL312",1.69775602397973e-18,0.403406532532808,0.639,0.35,3.32879023621705e-14,"4","RPL31"
"EIF3H2",1.70137681167674e-18,0.296095037902685,0.872,0.527,3.33588951465459e-14,"4","EIF3H"
"CCNB22",1.7035041519173e-18,0.412197544702194,0.52,0.275,3.34006059066425e-14,"4","CCNB2"
"HSD3B71",1.70367892918289e-18,0.357216992561635,0.273,0.11,3.34040327644889e-14,"4","HSD3B7"
"CYB5D12",1.75142942465422e-18,0.354653558857866,0.659,0.374,3.43402767291953e-14,"4","CYB5D1"
"VPS251",1.80430574254147e-18,0.328562748508413,0.364,0.168,3.53770226940106e-14,"4","VPS25"
"RPL35A2",1.80746857984177e-18,0.666458831300861,0.477,0.248,3.54390364449576e-14,"4","RPL35A"
"FAM57A1",1.81571062958304e-18,0.466745387827507,0.474,0.244,3.56006383142346e-14,"4","FAM57A"
"GYG12",1.83530901483977e-18,0.379253656553794,0.625,0.356,3.59849038539634e-14,"4","GYG1"
"FAM156A2",1.83826003312709e-18,0.446370736516848,0.696,0.404,3.60427644695228e-14,"4","FAM156A"
"CDK5RAP12",1.8500186831347e-18,0.356748433586684,0.523,0.279,3.62733163202221e-14,"4","CDK5RAP1"
"DPH22",1.86549770102131e-18,0.636947558788719,0.509,0.276,3.65768134239248e-14,"4","DPH2"
"PIWIL41",1.86807394341491e-18,0.314066414350187,0.713,0.413,3.66273258085362e-14,"4","PIWIL4"
"LPIN22",1.86921594143179e-18,0.288678913614465,0.878,0.527,3.66497169636532e-14,"4","LPIN2"
"MSH41",1.92981051688122e-18,0.310508643915972,0.503,0.266,3.78377948044901e-14,"4","MSH4"
"C7orf312",1.97358848727998e-18,0.282209490334446,0.622,0.341,3.86961494700986e-14,"4","C7orf31"
"NAXE2",2.05703847403484e-18,0.687350062887035,0.381,0.177,4.03323533604012e-14,"4","NAXE"
"C1QTNF2",2.07067466216248e-18,0.583394394791102,0.27,0.106,4.05997181010197e-14,"4","C1QTNF2"
"DUSP182",2.08458953433146e-18,0.715267976830059,0.44,0.22,4.08725469996368e-14,"4","DUSP18"
"HMMR2",2.14303546212567e-18,0.346609698370226,0.739,0.425,4.20184963058981e-14,"4","HMMR"
